1,アフリカ大陸から東南アジアにかけて生息し、ネズミやハブを駆除する目的で沖縄に持ち込まれたが、活動時間の違いなどからハブの天敵とはならず、ヤンバルクイナなどの沖縄固有の希少種を捕食していたため、特定外来生物に指定されてしまった動物はなんでしょう？,□□□□□,マングース,こめず
2,沖縄県に生息している、天然記念物指定のヤマネコと言えば？,□□□□□ヤマネコ,イリオモテ,卍
3,シャムネコとペルシャネコを交配させてつくられた猫の品種を何という？,□□□□□,ヒラヤマン,卍
4,胴長短足の姿から「猫界のダックスフント」と呼ばれることもある猫の品種を何という？,□□□□□,マンチカン,卍
5,デビューから無敗で三冠を達成するなど、圧倒的な強さをみせたが、2006年の有馬記念を最後に引退をした競走馬といえば？,ディープ□□□□□,インパクト,卍
6,哺乳類の中で唯一卵を産み、世界一奇妙な哺乳類と呼ばれる生き物は？,□□□□□,カモノハシ,卍
7,国際宇宙ステーションへ物資を運ぶ日本の宇宙輸送船の愛称にもなっているヨーロッパでは赤ん坊を運ぶという言い伝えがある鳥は何でしょう？,□□□□□,コウノトリ,卍
8,高級食材のキャビアは何のタマゴでしょう？,□□□□□,チョウザメ,卍
9,頭上にある突起の先を光らせて餌となる生物を誘い寄せる深海にすむアンコウの仲間は「何アンコウ」？,□□□□□アンコウ,チョウチン,卍
10,「泳ぐ宝石」「金魚の王様」とも呼ばれる、頭にあるたくさんのこぶが特徴の金魚は何でしょう？,□□□□□,ランチュウ,卍
11,人が進む前へと飛ぶことから「ミチオシエ」とも呼ばれる、漢字で「斑猫」と書く昆虫は何でしょう？,□□□□□,ハンミョウ,卍
12,魚介類やベーコン、野菜などをオリーブオイルとニンニクで煮込んだスペイン料理は何でしょう？,□□□□□,アヒージョ,卍
13,ドイツのハンブルクで生まれたことから名付けられたという、日本でもおなじみの肉料理は何でしょう？,□□□□□,ハンバーグ,卍
14,ニンニクは英語でガーリック。ではからしを英語でなんと言う？,□□□□□(カタカナ),マスタード,卍
15,ニンニクは英語でなんという？,□□□□□(カタカナ),ガーリック,卍
16,西洋料理で食事の最初に出される「前菜」のことをフランス語で何というでしょう？,□□□□□(カタカナ),オードブル,卍
17,あまりの美味しさに感動した国王が称号を授けたとされる牛の腰肉を指す言葉は何でしょう？,□□□□□(カタカナ),サーロイン,卍
18,フランス料理などの用いられる食用のカタツムリのことをフランス語で何というでしょう？,□□□□□(カタカナ),エスカルゴ,卍
19,クジラは英語でホエール、ではマグロは英語で何でしょう？,□□□□□(カタカナ),シーチキン,卍
20,中国では「カオヤーツ」という、丸焼きにしたアヒルの皮をそぎ落としてネギなどと小麦粉の皮にくるんで食べる北京料理といえば何？,□□□□□,北京ダック,卍
21,イタリア語で「香りが良い」という意味がある、白ブドウの液を発酵させて熟成させた酢を何というでしょう？,□□□□□酢(カタカナ),バルサミコ,卍
22, 地元では「玉子焼」と呼ばれている、発祥の地である兵庫県の地名がつけられた、たこ焼きに似た食べ物は何でしょう？,□□□□□,あかしやき(明石焼き),卍
23,食用にされる二枚貝の牡蠣はその豊富な栄養価からついた俗称といえば？,□□□□□,海のミルク,卍
24,牡蠣は海のミルク、アボカドは？,□□□□□,森のバター,卍
25,中国料理などに用いられる塩漬けにして発酵させた牡蠣からつくる調味料を「何ソース」というでしょう？,□□□□□ソース(カタカナ),オイスター,卍
26,地元の言葉で「お父さん」という意味がある山形県鶴岡市特産の高級な枝豆は何でしょう？,□□□□□,だだちゃ豆,卍
27,とがずに炊けるお米のことを何米というでしょう？,□□□□□,むせんまい(無洗米),卍
28,１８６９年、フランスのナポレオン３世の募集に応じてバターの代用品として発明された食品は何でしょう？,□□□□□,マーガリン,卍
29,肉や魚を使わず植物性の材料だけで作る料理を何料理と言うでしょう？,□□□□□料理(ひらがな),しょうじん(精進),卍
30,２０世紀の後半から急速に広まった、節分の夜にその年ごとに決まった方角に向かって目を閉じて一言も喋らず、願い事を思い浮かべながら食べる巻き寿司の太巻きをなんという？,□□□□□(ひらがな),えほうまき(恵方巻き),卍
31,エスプレッソコーヒーに泡立てたミルクを加えたイタリア生まれの飲み物を何というでしょう？,□□□□□,カプチーノ,卍
32,北海道では、ピーチリキュールをウーロン茶で割ったお酒「レゲエパンチ」のことを何という？,□□□□□,クーニャン,卍
33,ワインをその色から大きく３つに分けると赤ワイン、白ワインとあと一つは？,□□□□□,ロゼワイン,卍
34,２００７年に日本版が発売された、「三つ星」評価付きの旅行ガイドブックのことを何ガイドという？,□□□□□,ミシュラン,卍
35,日本列島を囲む４つの海といえば太平洋、日本海、東シナ海とあと１つは何でしょう？,□□□□□海,オホーツク,卍
36,メラネシア ミクロネシア ポリネシアの島々とオーストラリア ニュージーランドを総称して何というでしょう？,□□□□□,オセアニア,卍
37,アフリカ大陸最高峰キリマンジャロの山頂が在る国はどこ？,□□□□□,タンザニア,卍
38,ユーラシア大陸の東の端にある国はロシアですが、西の端がある国はどこでしょう？,□□□□□,ポルトガル,卍
39,オーストラリアの首都はどこでしょう？,□□□□□,キャンベラ,卍
40,スリランカの首都はどこ？,スリジャヤワルダナ□□□□□,プラコッテ,卍
41,ブラジルの首都はどこ？,□□□□□,ブラジリア,卍
42,16世紀日本に初めて鉄砲が伝わったとされる島と言えば？,□□□□□(ひらがな),たねがしま(種子島),卍
43,1996年、世界遺産（文化遺産）に登録され、海中の鳥居で有名な広島県の神社は？,□□□□□神社(ひらがな),いつくしま(厳島),卍
44,ノルウェーの探検家。1911年、イギリスの探検家スコットに先駆けて、世界で初めて南極点に到達。北極点にはアメリカの探検家ピアリが1909年に初到達。この人物は誰？,□□□□□,アムンゼン,卍
45,アメリカが発見される前は、世界の一番西のはじとされていたカナダ群島のイエロ島、現在はイギリスのグリニッジ天文台跡を通過する子午線がこれにあたるものといえば何？,□□□□□,本初子午線,卍
